Input Size,Reverse,Random,Pre-sorted
0,3150.0,2550.0,3300.0
2,1250.0,1600.0,2350.0
4,1150.0,1600.0,2100.0
6,1150.0,1800.0,2200.0
8,1400.0,1950.0,2500.0
10,1450.0,2100.0,2850.0
12,1550.0,2400.0,3200.0
14,1800.0,2650.0,4500.0
16,2000.0,2750.0,4650.0
18,2100.0,3000.0,5150.0
20,2150.0,3000.0,5350.0
22,2350.0,3650.0,6100.0
24,2500.0,3850.0,5250.0
26,2600.0,4150.0,4800.0
28,2750.0,4700.0,4850.0
30,2750.0,5550.0,5150.0
32,2950.0,5250.0,5500.0
34,3300.0,7450.0,5700.0
36,3550.0,6250.0,6350.0
38,3950.0,7150.0,6300.0
40,5150.0,7250.0,6650.0
42,4150.0,7250.0,6950.0
44,4500.0,7900.0,8250.0
46,4350.0,7850.0,8600.0
48,4800.0,8250.0,9000.0
50,5150.0,8300.0,9300.0
52,5050.0,8700.0,9200.0
54,5450.0,9150.0,9300.0
56,5300.0,9450.0,10000.0
58,5600.0,9750.0,10050.0
60,6100.0,10050.0,10750.0
62,6150.0,10650.0,10800.0
64,6600.0,10550.0,11500.0
66,6750.0,10550.0,12150.0
68,6350.0,11300.0,11900.0
70,6700.0,11500.0,12500.0
72,7200.0,12400.0,13000.0
74,7350.0,11950.0,13200.0
76,9850.0,12250.0,13500.0
78,8250.0,12900.0,13850.0
80,8950.0,13050.0,14550.0
82,9000.0,13550.0,15250.0
84,8700.0,13900.0,15800.0
86,9100.0,29850.0,15550.0
88,9850.0,15150.0,15900.0
90,10050.0,15050.0,15950.0
92,10150.0,15250.0,17400.0
94,10100.0,16800.0,17500.0
96,10450.0,17500.0,19400.0
98,10800.0,17450.0,19850.0
100,11650.0,17450.0,19550.0
