Input Size,Reverse,Random,Pre-sorted
0,1992.0,2160.0,2500.0
500,1722.0,1300.0,1192.0
1000,1086.0,1372.0,1040.0
1500,1054.0,1194.0,1146.0
2000,966.0,1324.0,1062.0
2500,1042.0,1324.0,1078.0
3000,1486.0,1214.0,1122.0
3500,978.0,1216.0,998.0
4000,1018.0,1256.0,992.0
4500,1000.0,1250.0,1056.0
5000,1090.0,1334.0,1018.0
5500,1140.0,1496.0,1162.0
6000,1076.0,1230.0,1940.0
6500,1088.0,1356.0,1564.0
7000,1208.0,1404.0,1574.0
7500,1240.0,1318.0,1206.0
8000,1308.0,1516.0,1416.0
8500,1056.0,1798.0,1050.0
9000,1584.0,1810.0,1148.0
9500,1274.0,1636.0,1330.0
10000,1298.0,2174.0,1580.0
10500,1888.0,2232.0,1774.0
11000,1910.0,2030.0,2556.0
11500,1628.0,2272.0,1654.0
12000,1604.0,1584.0,1216.0
12500,1538.0,1982.0,1248.0
13000,1188.0,1536.0,1260.0
13500,1320.0,2060.0,1284.0
14000,1666.0,1406.0,1590.0
14500,1456.0,1430.0,2000.0
15000,1112.0,1454.0,1098.0
15500,1120.0,1408.0,1056.0
16000,1104.0,1410.0,1070.0
16500,1078.0,1270.0,1148.0
17000,1066.0,1430.0,1192.0
17500,1238.0,1462.0,1368.0
18000,1086.0,1736.0,1108.0
18500,1038.0,1464.0,1108.0
19000,1112.0,1346.0,1088.0
19500,1018.0,1840.0,1748.0
20000,1072.0,1874.0,1200.0
20500,1314.0,1610.0,1242.0
21000,1142.0,1688.0,1088.0
21500,1056.0,1356.0,1106.0
22000,1018.0,1320.0,1190.0
22500,1760.0,1370.0,1206.0
23000,1192.0,1470.0,1096.0
23500,1148.0,1466.0,1122.0
24000,1106.0,1368.0,1274.0
24500,1104.0,1470.0,1206.0
25000,1082.0,1538.0,1128.0
25500,1140.0,1642.0,1148.0
26000,1198.0,1434.0,1144.0
26500,1114.0,1710.0,1106.0
27000,1136.0,1406.0,1036.0
27500,1100.0,1456.0,1210.0
28000,1504.0,2918.0,1174.0
28500,1246.0,1420.0,1140.0
29000,1338.0,1436.0,1240.0
29500,2070.0,2116.0,1236.0
30000,1152.0,1502.0,1198.0
30500,1372.0,1426.0,1210.0
31000,1272.0,2206.0,1284.0
31500,1304.0,1424.0,1152.0
32000,1152.0,1624.0,1112.0
32500,1176.0,1852.0,1488.0
33000,1242.0,1412.0,1232.0
33500,1290.0,1782.0,1222.0
34000,1248.0,1584.0,1780.0
34500,1440.0,1750.0,1338.0
35000,1272.0,2354.0,1266.0
35500,1202.0,1540.0,1516.0
36000,1534.0,1740.0,1360.0
36500,1238.0,1524.0,1320.0
37000,1212.0,1676.0,1578.0
37500,1556.0,1984.0,1388.0
38000,1234.0,1542.0,1356.0
