Input Size,Reverse,Random,Pre-sorted
0,2794.0,2655.0,2771.0
100,10654.0,13030.0,12142.0
200,19904.0,23650.0,21591.0
300,31382.0,35686.0,32431.0
400,41246.0,50246.0,43410.0
500,52096.0,66436.0,55887.0
600,70292.0,90265.0,72636.0
700,85307.0,110466.0,93475.0
800,106910.0,109784.0,110132.0
900,97976.0,124128.0,105297.0
1000,110759.0,138877.0,115514.0
1100,123283.0,162769.0,126896.0
1200,136027.0,170298.0,140940.0
1300,146677.0,185727.0,152795.0
1400,162784.0,202006.0,168720.0
1500,173569.0,217566.0,179418.0
1600,184208.0,235460.0,195706.0
1700,197852.0,249163.0,204496.0
1800,213221.0,264603.0,220569.0
1900,226304.0,279520.0,235530.0
2000,236670.0,300949.0,244736.0
2100,251341.0,322647.0,257250.0
2200,265947.0,339054.0,271958.0
2300,278060.0,359665.0,283952.0
2400,289797.0,376162.0,304527.0
2500,307024.0,384677.0,311607.0
2600,319754.0,401719.0,331935.0
2700,331412.0,427125.0,342541.0
2800,343697.0,436779.0,358029.0
2900,361341.0,455581.0,372690.0
3000,374676.0,481682.0,384966.0
3100,388380.0,504211.0,396685.0
3200,401480.0,513984.0,413454.0
3300,416046.0,534371.0,425357.0
3400,433156.0,546858.0,448221.0
3500,443349.0,562658.0,456984.0
3600,458605.0,581953.0,469080.0
3700,470542.0,605641.0,480886.0
3800,484365.0,622467.0,488612.0
3900,499899.0,643911.0,509823.0
4000,512268.0,658457.0,516715.0
4100,522086.0,685080.0,533738.0
4200,534550.0,688078.0,548678.0
4300,549616.0,723027.0,563642.0
4400,567879.0,732628.0,574579.0
4500,579865.0,737402.0,590587.0
4600,598754.0,768575.0,605456.0
4700,604666.0,772804.0,619647.0
4800,622149.0,797666.0,631507.0
4900,631779.0,824714.0,641384.0
5000,651195.0,828490.0,658304.0
5100,659969.0,852078.0,673796.0
5200,672224.0,874657.0,684899.0
5300,688347.0,886771.0,700428.0
5400,701143.0,916696.0,719675.0
5500,717953.0,941239.0,729530.0
5600,737135.0,934674.0,746017.0
5700,745299.0,955576.0,758518.0
5800,759287.0,984577.0,767361.0
5900,773988.0,992497.0,785724.0
6000,791195.0,1009099.0,799109.0
6100,799908.0,1021930.0,814804.0
6200,813055.0,1046098.0,832017.0
6300,829992.0,1067744.0,847788.0
6400,842734.0,1086440.0,856158.0
6500,853247.0,1107252.0,868888.0
6600,873901.0,1138247.0,890513.0
6700,885828.0,1152207.0,900370.0
6800,896684.0,1174850.0,914009.0
6900,913297.0,1203928.0,933583.0
7000,927724.0,1205802.0,947436.0
7100,947502.0,1215579.0,964943.0
7200,958928.0,1236422.0,974697.0
7300,976102.0,1267291.0,987488.0
7400,994055.0,1285442.0,1015366.0
7500,996219.0,1299547.0,1015849.0
7600,1008688.0,1331121.0,1031385.0
7700,1024550.0,1328357.0,1043939.0
7800,1046747.0,1363382.0,1059686.0
7900,1061867.0,1394013.0,1080959.0
8000,1069404.0,1411251.0,1091097.0
8100,1086295.0,1427344.0,1100726.0
8200,1098801.0,1433794.0,1115355.0
8300,1111205.0,1459963.0,1129151.0
8400,1126098.0,1473122.0,1144802.0
8500,1146452.0,1485301.0,1158469.0
8600,1168778.0,1514046.0,1176335.0
8700,1180108.0,1565595.0,1193633.0
8800,1189254.0,1608057.0,1212656.0
8900,1207534.0,1584278.0,1221977.0
9000,1213270.0,1617896.0,1236927.0
9100,1230416.0,1640675.0,1256041.0
9200,1250963.0,1658935.0,1270667.0
9300,1258326.0,1699276.0,1283449.0
9400,1278831.0,1693094.0,1303052.0
9500,1286497.0,1686138.0,1315499.0
9600,1307236.0,1726026.0,1327935.0
9700,1320731.0,1747935.0,1337723.0
9800,1332217.0,1779430.0,1368322.0
9900,1341266.0,1792841.0,1374826.0
10000,1363597.0,1795366.0,1397703.0
