Input Size,QuickSort,MergeSort,HeapSort,BubbleSort,NoSort
0,1905.0,2072.0,2635.0,2358.0,2219.0
50,2758.0,4360.0,5015.0,8258.0,1270.0
100,3461.0,5455.0,9133.0,26193.0,986.0
150,4609.0,8482.0,13887.0,52894.0,934.0
200,5215.0,10705.0,18636.0,92972.0,889.0
250,6909.0,13664.0,23353.0,143485.0,938.0
300,8110.0,16170.0,28792.0,211329.0,931.0
350,9347.0,18582.0,34249.0,331570.0,892.0
400,9763.0,20988.0,39414.0,413597.0,936.0
450,11592.0,23903.0,45137.0,470708.0,933.0
500,12648.0,26808.0,53083.0,569272.0,927.0
550,14264.0,32779.0,69237.0,690199.0,926.0
600,17998.0,40417.0,73780.0,825363.0,994.0
650,18051.0,40385.0,74667.0,959723.0,1277.0
700,20314.0,42702.0,74545.0,1159939.0,1541.0
750,20734.0,42001.0,81140.0,1274070.0,1352.0
800,20074.0,45575.0,85298.0,1465542.0,971.0
850,21955.0,47749.0,91862.0,1649114.0,969.0
900,22491.0,50021.0,100063.0,1849546.0,1016.0
950,24372.0,52834.0,105243.0,2070187.0,1170.0
1000,25618.0,56060.0,109766.0,2264322.0,960.0
1050,27092.0,59596.0,115711.0,2498538.0,958.0
1100,27670.0,62213.0,121204.0,2758121.0,971.0
1150,28675.0,65779.0,128508.0,3015420.0,1251.0
1200,30119.0,68411.0,135568.0,3258462.0,954.0
1250,31776.0,71826.0,142713.0,3525999.0,1063.0
1300,32587.0,75818.0,152857.0,3800188.0,942.0
1350,34166.0,78679.0,157197.0,4091365.0,955.0
1400,36240.0,81387.0,162856.0,4403631.0,1032.0
1450,36865.0,85104.0,169964.0,4712673.0,988.0
1500,38414.0,88638.0,172596.0,5043419.0,1038.0
1550,39835.0,95106.0,181534.0,5386592.0,976.0
1600,40680.0,103593.0,184808.0,5759734.0,1000.0
1650,46592.0,96387.0,193000.0,6081627.0,1013.0
1700,45243.0,99356.0,198383.0,6464934.0,1242.0
1750,44871.0,103171.0,205639.0,6827443.0,1018.0
1800,46077.0,108583.0,211205.0,7249099.0,1047.0
1850,48187.0,110275.0,216666.0,7644494.0,995.0
1900,49131.0,114262.0,225324.0,8081026.0,1051.0
1950,50714.0,117723.0,233142.0,8529939.0,1021.0
2000,52890.0,119056.0,237380.0,8966099.0,994.0
