Input Size,Reverse,Random,Pre-sorted
0,2850.0,2200.0,2450.0
2,1350.0,1700.0,1450.0
4,1150.0,1850.0,1500.0
6,1400.0,2050.0,1600.0
8,1350.0,2100.0,1750.0
10,1500.0,2400.0,1800.0
12,1650.0,2450.0,1950.0
14,1850.0,2800.0,2100.0
16,1700.0,2800.0,2250.0
18,1900.0,3150.0,2400.0
20,2000.0,3400.0,2450.0
22,2050.0,3400.0,2450.0
24,2000.0,3600.0,2400.0
26,2150.0,3900.0,2550.0
28,2200.0,4000.0,2700.0
30,2300.0,4100.0,2900.0
32,2350.0,4150.0,2850.0
34,2700.0,4400.0,3150.0
36,3200.0,5300.0,3050.0
38,2950.0,5550.0,3400.0
40,2900.0,5450.0,5250.0
42,3250.0,5400.0,4000.0
44,3100.0,5550.0,3700.0
46,3150.0,5850.0,3850.0
48,3300.0,6150.0,3900.0
50,3450.0,6250.0,4950.0
52,3350.0,6400.0,4600.0
54,3500.0,6650.0,4450.0
56,3500.0,6850.0,4500.0
58,3800.0,7100.0,4600.0
60,3750.0,7400.0,4700.0
62,3800.0,7500.0,5750.0
64,3900.0,7550.0,4800.0
66,4350.0,7700.0,5350.0
68,4350.0,8150.0,5200.0
70,11550.0,8450.0,5450.0
72,4650.0,8500.0,5300.0
74,4950.0,8700.0,5750.0
76,4900.0,9050.0,5550.0
78,4950.0,9050.0,5850.0
80,5000.0,9200.0,5850.0
82,5550.0,9650.0,6300.0
84,5350.0,9700.0,6300.0
86,6400.0,10050.0,6600.0
88,5950.0,10450.0,6300.0
90,5900.0,11000.0,6700.0
92,5850.0,10700.0,7050.0
94,6050.0,11000.0,7100.0
96,5950.0,11050.0,6850.0
98,6450.0,11600.0,7500.0
100,6250.0,11950.0,7200.0
