Input Size,QuickSort,MergeSort,HeapSort,BubbleSort,NoSort
0,5350.0,2250.0,2250.0,2200.0,2400.0
2,3200.0,1900.0,1650.0,1600.0,1500.0
4,3250.0,1650.0,1600.0,1500.0,1300.0
6,3550.0,1950.0,1750.0,1600.0,1350.0
8,3650.0,2000.0,1900.0,1750.0,1250.0
10,4150.0,2300.0,2150.0,1750.0,1200.0
12,4500.0,2350.0,2400.0,2050.0,1250.0
14,5150.0,2650.0,2650.0,2400.0,1300.0
16,5150.0,2650.0,2900.0,2450.0,1450.0
18,5950.0,2900.0,2900.0,2600.0,1150.0
20,5900.0,3550.0,2900.0,2950.0,1100.0
22,6400.0,3400.0,3350.0,3450.0,1150.0
24,6550.0,3450.0,3750.0,3450.0,1200.0
26,6400.0,5400.0,4800.0,4000.0,1200.0
28,7050.0,3750.0,3850.0,4350.0,1150.0
30,7400.0,5950.0,4050.0,4550.0,2450.0
32,7550.0,4200.0,4450.0,5400.0,1650.0
34,8100.0,6500.0,4900.0,5550.0,2200.0
36,8800.0,4600.0,5400.0,5750.0,1500.0
38,8750.0,4850.0,5000.0,6650.0,1100.0
40,9400.0,4650.0,5450.0,6900.0,1300.0
42,9900.0,5050.0,5500.0,9400.0,1150.0
44,9800.0,5350.0,6150.0,8450.0,1250.0
46,10600.0,5850.0,6250.0,9500.0,1250.0
48,10800.0,5450.0,6300.0,9250.0,1300.0
50,11150.0,7750.0,6700.0,10350.0,1200.0
52,11300.0,6050.0,7050.0,11000.0,1200.0
54,11550.0,5900.0,7550.0,11500.0,1200.0
56,9300.0,6200.0,7200.0,12200.0,1200.0
58,9000.0,6350.0,7550.0,13350.0,1200.0
60,9450.0,6550.0,8650.0,13800.0,1150.0
62,10200.0,6750.0,7900.0,14200.0,1200.0
64,10450.0,6850.0,8400.0,14850.0,1150.0
66,10600.0,7350.0,8600.0,15650.0,1150.0
68,11250.0,7550.0,8750.0,17100.0,1150.0
70,11700.0,7850.0,9000.0,17700.0,1200.0
72,11800.0,8700.0,9250.0,18400.0,1200.0
74,11450.0,8300.0,10200.0,18950.0,1200.0
76,12150.0,8600.0,10050.0,19950.0,1200.0
78,13000.0,8800.0,10050.0,21000.0,1200.0
80,12500.0,8750.0,10400.0,22000.0,1200.0
82,13200.0,9250.0,10950.0,22250.0,1450.0
84,13300.0,9350.0,11000.0,23100.0,1350.0
86,13950.0,9500.0,11000.0,23800.0,1250.0
88,15050.0,9600.0,11050.0,25100.0,1300.0
90,14550.0,10000.0,11750.0,26700.0,1200.0
92,14700.0,10000.0,11950.0,27000.0,1100.0
94,15000.0,10150.0,12300.0,29400.0,1200.0
96,14400.0,10150.0,12300.0,29800.0,1150.0
98,14700.0,10700.0,13150.0,31800.0,1150.0
100,15400.0,11050.0,13100.0,31500.0,1200.0
